id,agency_id,agency_code,employee_code,first_name,last_name,full_name,gender,birth_date,nni,ethnicity,phone,email,role,status,hire_date,contract_type,salary_grade,created_at,updated_at
47,12,NKC-N-012,AG-NKC-N-012-01,Diakaridia,Fofana,Diakaridia Fofana,M,1990-12-16,9001362809,SONINKE,+22249021597,diakaridia.fofana@nafadpay.mr,MANAGER,ACTIVE,2020-03-11,CDD,A,2020-03-11T10:31:30.017Z,2024-12-02T21:44:33.030Z
48,12,NKC-N-012,AG-NKC-N-012-02,Samba,Guèye,Samba Guèye,M,1990-05-05,9001845883,SONINKE,+22232088587,samba.guèye@nafadpay.mr,CASHIER,ACTIVE,2021-07-26,CDD,C,2021-07-26T07:27:44.123Z,2024-12-24T12:50:13.906Z
49,12,NKC-N-012,AG-NKC-N-012-03,Wedadi,Ould Zein,Wedadi Ould Zein,M,1992-05-17,9201800662,MAURE,+22224007523,wedadi.ouldzein@nafadpay.mr,CASHIER,ACTIVE,2021-04-22,CDD,D,2021-04-22T00:55:17.233Z,2022-04-29T03:30:03.377Z
50,12,NKC-N-012,AG-NKC-N-012-04,Abdel Kader,Ould Taleb,Abdel Kader Ould Taleb,M,1988-03-11,8801502251,MAURE,+22235361613,abdel kader.ouldtaleb@nafadpay.mr,CASHIER,INACTIVE,2020-12-08,CDD,E,2020-12-08T21:31:40.511Z,2024-06-25T01:08:53.733Z
51,12,NKC-N-012,AG-NKC-N-012-05,Mohamed,Ould Nenni,Mohamed Ould Nenni,M,1991-02-14,9101690792,MAURE,+22224477454,mohamed.ouldnenni@nafadpay.mr,CASHIER,ACTIVE,2020-02-02,CDI,E,2020-02-02T01:52:05.539Z,2024-09-05T00:41:18.169Z
52,13,NKC-N-013,AG-NKC-N-013-01,Astou,Diakité,Astou Diakité,F,1976-12-19,7601849443,WOLOF,+22222032930,astou.diakité@nafadpay.mr,MANAGER,ACTIVE,2022-09-02,CDD,A,2022-09-02T14:23:40.685Z,2024-11-20T13:29:06.363Z
53,13,NKC-N-013,AG-NKC-N-013-02,Mohamed Yahya,Mbow,Mohamed Yahya Mbow,M,1985-08-03,8501285122,PEUL,+22232983790,mohamed yahya.mbow@nafadpay.mr,CASHIER,INACTIVE,2020-06-08,STAGE,C,2020-06-08T06:54:40.228Z,2023-12-10T01:04:57.003Z
54,13,NKC-N-013,AG-NKC-N-013-03,Ahmed Salem,Ould Habiboullah,Ahmed Salem Ould Habiboullah,M,1991-09-21,9101145652,MAURE,+22236345875,ahmed salem.ouldhabiboullah@nafadpay.mr,CASHIER,ACTIVE,2020-06-25,CDI,E,2020-06-25T10:52:14.784Z,2024-06-16T11:25:21.707Z
55,13,NKC-N-013,AG-NKC-N-013-04,Mahjouba,Thiam,Mahjouba Thiam,F,1990-03-25,9001962164,PEUL,+22232357777,mahjouba.thiam@nafadpay.mr,CASHIER,ACTIVE,2023-11-05,CDI,D,2023-11-05T23:06:43.869Z,2024-08-24T19:16:43.158Z
56,13,NKC-N-013,AG-NKC-N-013-05,Vatma,Mint Mahmoud,Vatma Mint Mahmoud,F,1971-08-18,7101778472,MAURE,+22236323239,vatma.mintmahmoud@nafadpay.mr,CASHIER,ACTIVE,2020-10-17,CDI,D,2020-10-17T09:37:06.833Z,2024-03-04T11:34:57.375Z
57,13,NKC-N-013,AG-NKC-N-013-06,Zeinab,Fofana,Zeinab Fofana,F,1970-11-03,7001113407,SONINKE,+22235337371,zeinab.fofana@nafadpay.mr,CASHIER,ACTIVE,2021-08-28,CDD,E,2021-08-28T02:05:54.058Z,2021-11-06T06:01:05.527Z
58,14,NKC-N-014,AG-NKC-N-014-01,Zakaria,Ould Cheikh,Zakaria Ould Cheikh,M,1994-03-07,9401528739,MAURE,+22235306608,zakaria.ouldcheikh@nafadpay.mr,MANAGER,ACTIVE,2020-06-26,CDD,B,2020-06-26T07:54:15.496Z,2022-02-06T06:46:12.494Z
59,14,NKC-N-014,AG-NKC-N-014-02,Gaoussou,Wane,Gaoussou Wane,M,1992-06-26,9201324809,PEUL,+22224791753,gaoussou.wane@nafadpay.mr,CASHIER,INACTIVE,2022-03-05,CDI,E,2022-03-05T21:42:34.466Z,2024-11-17T23:52:44.271Z
60,15,NKC-N-015,AG-NKC-N-015-01,Kesso,Thiaw,Kesso Thiaw,F,1997-11-09,9701814617,PEUL,+22241289881,kesso.thiaw@nafadpay.mr,MANAGER,ACTIVE,2023-06-05,CDI,A,2023-06-05T05:39:46.006Z,2023-12-25T16:59:57.104Z
61,15,NKC-N-015,AG-NKC-N-015-02,Souleymane,Ould Abeih,Souleymane Ould Abeih,M,1992-02-15,9201650395,MAURE,+22224018738,souleymane.ouldabeih@nafadpay.mr,CASHIER,ACTIVE,2020-03-04,CDD,D,2020-03-04T15:10:05.527Z,2023-02-26T19:58:40.748Z
62,15,NKC-N-015,AG-NKC-N-015-03,Ghalia,Mint El Mamy,Ghalia Mint El Mamy,F,1993-10-09,9301610752,MAURE,+22225389189,ghalia.mintelmamy@nafadpay.mr,CASHIER,ACTIVE,2020-05-13,STAGE,C,2020-05-13T13:05:49.830Z,2022-09-28T09:48:05.232Z
63,15,NKC-N-015,AG-NKC-N-015-04,Mounina,Dramé,Mounina Dramé,F,1985-02-16,8501053462,SONINKE,+22236309901,mounina.dramé@nafadpay.mr,CASHIER,ACTIVE,2023-01-13,CDI,D,2023-01-13T03:47:02.950Z,2023-07-30T04:25:37.828Z
64,15,NKC-N-015,AG-NKC-N-015-05,Abdallah,Ould Mokhtar,Abdallah Ould Mokhtar,M,1990-06-27,9001016209,MAURE,+22224569643,abdallah.ouldmokhtar@nafadpay.mr,CASHIER,ACTIVE,2022-04-14,STAGE,C,2022-04-14T21:56:28.567Z,2022-11-17T18:14:30.479Z
65,15,NKC-N-015,AG-NKC-N-015-06,Meymouna,Mint Wedadi,Meymouna Mint Wedadi,F,1981-07-19,8101278063,MAURE,+22236867509,meymouna.mintwedadi@nafadpay.mr,CASHIER,ACTIVE,2021-10-18,CDD,C,2021-10-18T16:58:42.071Z,2022-03-09T11:08:56.286Z
66,16,NKC-N-016,AG-NKC-N-016-01,Ethmane,Ould Dah,Ethmane Ould Dah,M,1974-02-07,7401755379,MAURE,+22233785382,ethmane.oulddah@nafadpay.mr,MANAGER,ACTIVE,2020-10-07,STAGE,B,2020-10-07T09:50:37.799Z,2021-11-07T11:20:29.878Z
67,16,NKC-N-016,AG-NKC-N-016-02,Aminetou,Bâ,Aminetou Bâ,F,1986-04-09,8601772360,PEUL,+22236839754,aminetou.bâ@nafadpay.mr,CASHIER,ACTIVE,2022-05-14,CDD,E,2022-05-14T11:23:47.728Z,2024-02-22T20:28:26.134Z
68,16,NKC-N-016,AG-NKC-N-016-03,Mahmoud,Ould Eleya,Mahmoud Ould Eleya,M,1970-05-25,7001894571,MAURE,+22244639426,mahmoud.ouldeleya@nafadpay.mr,CASHIER,ACTIVE,2022-09-22,STAGE,C,2022-09-22T00:48:27.166Z,2023-07-27T20:36:15.463Z
69,16,NKC-N-016,AG-NKC-N-016-04,Diakaridia,Bathily,Diakaridia Bathily,M,1998-08-26,9801325963,PEUL,+22224704695,diakaridia.bathily@nafadpay.mr,CASHIER,ACTIVE,2022-05-31,STAGE,E,2022-05-31T18:17:25.865Z,2023-01-07T03:41:23.676Z
70,16,NKC-N-016,AG-NKC-N-016-05,Hawa,Ndiaye,Hawa Ndiaye,F,1982-09-17,8201658268,PEUL,+22222477422,hawa.ndiaye@nafadpay.mr,CASHIER,ACTIVE,2023-08-11,STAGE,D,2023-08-11T10:37:25.081Z,2023-11-13T10:17:30.737Z
71,16,NKC-N-016,AG-NKC-N-016-06,Aichetou,Mint Ahmed,Aichetou Mint Ahmed,F,1972-02-21,7201797913,MAURE,+22222099681,aichetou.mintahmed@nafadpay.mr,CASHIER,ACTIVE,2022-01-25,CDI,C,2022-01-25T07:30:08.839Z,2024-08-30T04:38:47.300Z
72,17,NKC-N-017,AG-NKC-N-017-01,Mohamed,Ould Ethmane,Mohamed Ould Ethmane,M,1976-05-05,7601044338,MAURE,+22224131039,mohamed.ouldethmane@nafadpay.mr,MANAGER,ACTIVE,2023-06-04,STAGE,B,2023-06-04T14:09:22.295Z,2023-11-20T18:56:55.310Z
73,17,NKC-N-017,AG-NKC-N-017-02,Malick,Sow,Malick Sow,M,1984-04-16,8401980460,PEUL,+22233265561,malick.sow@nafadpay.mr,CASHIER,INACTIVE,2023-05-13,STAGE,C,2023-05-13T13:13:25.326Z,2024-11-20T14:28:16.391Z
74,17,NKC-N-017,AG-NKC-N-017-03,Vall,Ould Lemrabott,Vall Ould Lemrabott,M,1985-06-15,8501319322,MAURE,+22225456777,vall.ouldlemrabott@nafadpay.mr,CASHIER,ACTIVE,2023-11-23,STAGE,C,2023-11-23T00:53:38.502Z,2023-12-29T14:57:56.324Z
75,17,NKC-N-017,AG-NKC-N-017-04,Hamadi,Ould El Ghassem,Hamadi Ould El Ghassem,M,1972-11-12,7201004699,MAURE,+22234051323,hamadi.ouldelghassem@nafadpay.mr,CASHIER,ACTIVE,2022-01-13,CDD,C,2022-01-13T20:47:45.036Z,2022-03-23T04:45:39.569Z
76,17,NKC-N-017,AG-NKC-N-017-05,Mohamed Mahmoud,Tall,Mohamed Mahmoud Tall,M,1977-01-15,7701356100,PEUL,+22224966561,mohamed mahmoud.tall@nafadpay.mr,CASHIER,INACTIVE,2022-04-21,CDI,C,2022-04-21T07:24:29.877Z,2022-06-23T18:09:47.519Z
77,17,NKC-N-017,AG-NKC-N-017-06,Vadel,Sy,Vadel Sy,M,1999-06-22,9901552764,SONINKE,+22232355270,vadel.sy@nafadpay.mr,CASHIER,ACTIVE,2023-05-23,STAGE,C,2023-05-23T19:50:42.716Z,2023-08-29T23:44:20.060Z
78,18,NKC-N-018,AG-NKC-N-018-01,Maimouna,Diarra,Maimouna Diarra,F,1988-06-17,8801764060,PEUL,+22224951065,maimouna.diarra@nafadpay.mr,MANAGER,ACTIVE,2021-07-06,CDI,A,2021-07-06T11:55:54.549Z,2022-09-01T14:30:30.139Z
79,18,NKC-N-018,AG-NKC-N-018-02,Moctar,Ly,Moctar Ly,M,1986-11-18,8601305801,SONINKE,+22222427637,moctar.ly@nafadpay.mr,CASHIER,ACTIVE,2020-09-23,CDI,D,2020-09-23T08:58:37.623Z,2023-01-02T11:52:44.657Z
80,18,NKC-N-018,AG-NKC-N-018-03,Cheikh Sidiya,Ndour,Cheikh Sidiya Ndour,M,1998-01-12,9801152994,PEUL,+22249908696,cheikh sidiya.ndour@nafadpay.mr,CASHIER,ACTIVE,2023-06-20,CDD,D,2023-06-20T03:52:35.482Z,2023-08-05T11:58:59.258Z
81,19,NKC-N-019,AG-NKC-N-019-01,Boubacar,Ould Mahmoud,Boubacar Ould Mahmoud,M,1978-12-22,7801970158,MAURE,+22235890342,boubacar.ouldmahmoud@nafadpay.mr,MANAGER,ACTIVE,2022-01-13,CDD,B,2022-01-13T21:51:53.520Z,2022-06-24T19:52:37.443Z
82,19,NKC-N-019,AG-NKC-N-019-02,Naha,Ly,Naha Ly,F,1975-12-19,7501924457,WOLOF,+22224546753,naha.ly@nafadpay.mr,CASHIER,ACTIVE,2022-10-31,CDD,E,2022-10-31T03:49:18.450Z,2023-04-25T22:35:20.397Z
83,20,NKC-O-001,AG-NKC-O-001-01,Abeih,Ould Abeih,Abeih Ould Abeih,M,1992-07-26,9202661949,MAURE,+22222215794,abeih.ouldabeih@nafadpay.mr,MANAGER,ACTIVE,2021-01-29,STAGE,A,2021-01-29T03:13:05.855Z,2023-01-29T12:30:26.269Z
84,20,NKC-O-001,AG-NKC-O-001-02,Rokaya,Mint Sidi,Rokaya Mint Sidi,F,1985-08-21,8502535435,MAURE,+22225824934,rokaya.mintsidi@nafadpay.mr,CASHIER,INACTIVE,2021-10-19,CDD,C,2021-10-19T12:09:51.640Z,2023-07-15T14:25:43.707Z
85,20,NKC-O-001,AG-NKC-O-001-03,Yacoub,Faye,Yacoub Faye,M,1978-02-22,7802764284,WOLOF,+22246008118,yacoub.faye@nafadpay.mr,CASHIER,ACTIVE,2023-04-18,CDI,E,2023-04-18T01:50:06.744Z,2023-10-23T01:34:34.920Z
86,20,NKC-O-001,AG-NKC-O-001-04,Diakaridia,Ly,Diakaridia Ly,M,1974-10-26,7402026641,PEUL,+22245028740,diakaridia.ly@nafadpay.mr,CASHIER,ACTIVE,2020-10-31,STAGE,D,2020-10-31T19:40:25.446Z,2022-04-08T06:15:49.777Z
87,21,NKC-O-002,AG-NKC-O-002-01,Ghali,Ould Tourad,Ghali Ould Tourad,M,1983-05-05,8302810417,MAURE,+22235078643,ghali.ouldtourad@nafadpay.mr,MANAGER,ACTIVE,2023-05-02,CDI,B,2023-05-02T00:56:47.299Z,2024-06-10T04:43:30.193Z
88,21,NKC-O-002,AG-NKC-O-002-02,Abdallah,Ndiaye,Abdallah Ndiaye,M,1988-02-15,8802716271,WOLOF,+22222672764,abdallah.ndiaye@nafadpay.mr,CASHIER,ACTIVE,2021-03-31,STAGE,D,2021-03-31T02:36:50.776Z,2021-07-02T07:53:18.121Z
89,21,NKC-O-002,AG-NKC-O-002-03,El Mokhtar,Ould Messoud,El Mokhtar Ould Messoud,M,1975-12-23,7502836269,MAURE,+22242117953,el mokhtar.ouldmessoud@nafadpay.mr,CASHIER,ACTIVE,2023-08-18,STAGE,D,2023-08-18T05:47:39.943Z,2024-06-12T08:17:57.619Z
90,22,NKC-O-003,AG-NKC-O-003-01,Makan,Sakho,Makan Sakho,M,1993-04-09,9302045092,WOLOF,+22222780883,makan.sakho@nafadpay.mr,MANAGER,ACTIVE,2022-10-06,STAGE,B,2022-10-06T18:41:12.036Z,2023-01-20T06:47:18.758Z
