id,code,mcc,name,category_code,category_label,owner_first_name,owner_last_name,owner_full_name,owner_gender,owner_ethnicity,phone,email,wilaya_id,wilaya_name,moughataa_id,moughataa_name,address,latitude,longitude,commission_rate,avg_transaction_min,avg_transaction_max,status,registration_date,created_at,updated_at
11,MRC389292,5411,undefined Teyarett Nouakchott-Nord,ALM,,Mokhtar,Thiaw,Mokhtar Thiaw,M,WOLOF,+22233741314,undefinedteyare@nafadpay.mr,1,Nouakchott-Nord,2,,185 Avenue Principale,NaN,NaN,0.0162,200,5000,ACTIVE,2023-12-13,2023-12-13T02:15:32.590Z,2024-01-08T04:08:23.308Z
12,MRC970052,4121,undefined Central Guidimaka,TRN,,Houda,Mint Abdallah,Houda Mint Abdallah,F,MAURE,+22235660080,undefinedcentra@nafadpay.mr,8,Guidimaka,27,,4 Avenue de la Paix,NaN,NaN,0.0195,200,3000,ACTIVE,2021-09-08,2021-09-08T13:44:56.370Z,2023-01-18T09:28:50.182Z
13,MRC592211,4812,undefined Capital Inchiri,TEL,,N'Dèye,Koita,N'Dèye Koita,F,SONINKE,+22223411656,undefinedcapita@nafadpay.mr,14,Inchiri,52,,34 Avenue Gamal,NaN,NaN,0.0094,500,10000,INACTIVE,2022-05-24,2022-05-24T00:01:46.271Z,2024-03-08T13:27:49.258Z
14,MRC281973,5411,undefined El Wafa Adrar,ALM,,Maguette,Diop,Maguette Diop,F,SONINKE,+22235735613,undefinedelwafa@nafadpay.mr,12,Adrar,46,,94 Avenue du Commerce,NaN,NaN,0.0086,200,5000,ACTIVE,2022-03-11,2022-03-11T04:26:26.237Z,2024-02-25T17:12:45.272Z
15,MRC543093,5812,undefined Essalem Trarza,RST,,Aissata,Mint Vadel,Aissata Mint Vadel,F,MAURE,+22222686354,undefinedessale@nafadpay.mr,5,Trarza,13,,59 Avenue du Commerce,NaN,NaN,0.0053,300,5000,ACTIVE,2024-03-02,2024-03-02T22:27:07.753Z,2024-08-31T03:30:18.962Z
16,MRC001787,5812,undefined Teyarett Assaba,RST,,Youssouf,Diop,Youssouf Diop,M,WOLOF,+22234741314,undefinedteyare@nafadpay.mr,9,Assaba,31,,9 Avenue Principale,NaN,NaN,0.0246,300,5000,ACTIVE,2023-10-12,2023-10-12T14:35:16.762Z,2024-12-11T20:25:27.417Z
17,MRC635724,5411,undefined El Khair Dakhlet Nouadhibou,ALM,,Soumaïla,Camara,Soumaïla Camara,M,SONINKE,+22223741314,undefinedelkhai@nafadpay.mr,4,Dakhlet Nouadhibou,10,,156 Avenue du Commerce,NaN,NaN,0.025,200,5000,ACTIVE,2023-12-18,2023-12-18T20:23:58.964Z,2024-01-22T09:39:39.565Z
18,MRC712508,5411,undefined El Khair Brakna,ALM,,Pape,Tall,Pape Tall,M,WOLOF,+22236741314,undefinedelkhai@nafadpay.mr,6,Brakna,17,,132 Avenue du Commerce,NaN,NaN,0.014,200,5000,ACTIVE,2024-09-04,2024-09-04T16:43:36.159Z,2024-12-19T22:46:08.690Z
19,MRC201928,4121,undefined du Progrès Nouakchott-Sud,TRN,,Abdallah,Ould Taleb,Abdallah Ould Taleb,M,MAURE,+22232741314,undefinedduprog@nafadpay.mr,3,Nouakchott-Sud,9,,97 Avenue de la Paix,NaN,NaN,0.0148,200,3000,ACTIVE,2021-05-17,2021-05-17T04:13:00.123Z,2022-08-12T17:36:24.107Z
20,MRC179426,5211,undefined Center Nouakchott-Ouest,BTP,,Oumou,Diagana,Oumou Diagana,F,PEUL,+22222741314,undefinedcenter@nafadpay.mr,2,Nouakchott-Ouest,5,,164 Avenue de la Paix,NaN,NaN,0.0132,5000,500000,ACTIVE,2024-12-30,2024-12-30T00:12:11.212Z,2024-12-30T15:57:51.661Z
21,MRC400314,5541,undefined El Khair Nouakchott-Ouest,CRB,,Mokhtar,Fofana,Mokhtar Fofana,M,PEUL,+22244741314,undefinedelkhai@nafadpay.mr,2,Nouakchott-Ouest,5,,196 Avenue Nasser,NaN,NaN,0.0144,1000,20000,ACTIVE,2021-01-20,2021-01-20T19:38:17.980Z,2024-05-11T14:04:01.837Z
22,MRC686351,7299,undefined Teyarett Nouakchott-Ouest,SRV,,Sidi,Koita,Sidi Koita,M,PEUL,+22225741314,undefinedteyare@nafadpay.mr,2,Nouakchott-Ouest,5,,73 Avenue du Commerce,NaN,NaN,0.0184,1000,20000,ACTIVE,2023-05-27,2023-05-27T15:41:24.030Z,2023-09-24T00:33:14.669Z
23,MRC713274,7299,undefined du Marché Dakhlet Nouadhibou,SRV,,Saadbouh,Ould Taleb,Saadbouh Ould Taleb,M,MAURE,+22245741314,undefineddumarc@nafadpay.mr,4,Dakhlet Nouadhibou,10,,120 Avenue Nasser,NaN,NaN,0.0071,1000,20000,ACTIVE,2023-12-07,2023-12-07T04:48:51.524Z,2024-03-16T21:30:05.031Z
24,MRC467445,5651,undefined de la Corniche Brakna,HAB,,Daouda,Tall,Daouda Tall,M,SONINKE,+22234741315,undefineddelaco@nafadpay.mr,6,Brakna,21,,53 Avenue Principale,NaN,NaN,0.0197,2000,30000,ACTIVE,2024-11-21,2024-11-21T16:28:41.285Z,2024-12-02T16:52:41.378Z
25,MRC612067,5912,undefined Ksar Nouakchott-Ouest,SAN,,Bakary,Guèye,Bakary Guèye,M,WOLOF,+22241959003,undefinedksarno@nafadpay.mr,2,Nouakchott-Ouest,4,,149 Avenue Gamal,NaN,NaN,0.0096,500,50000,ACTIVE,2022-03-14,2022-03-14T08:30:49.854Z,2024-11-08T18:30:33.115Z
26,MRC629051,5541,undefined du Sahel Nouakchott-Nord,CRB,,Ndongo,Ba,Ndongo Ba,M,PEUL,+22223741315,undefineddusahe@nafadpay.mr,1,Nouakchott-Nord,1,,168 Avenue Principale,NaN,NaN,0.0181,1000,20000,ACTIVE,2021-03-17,2021-03-17T08:46:39.223Z,2021-05-30T04:46:01.378Z
27,MRC843907,5411,undefined Express Trarza,ALM,,Abdallah,Diallo,Abdallah Diallo,M,SONINKE,+22244741315,undefinedexpres@nafadpay.mr,5,Trarza,15,,149 Avenue du Commerce,NaN,NaN,0.0246,200,5000,ACTIVE,2021-06-24,2021-06-24T14:38:53.434Z,2023-03-14T10:02:41.161Z
28,MRC147776,7011,undefined Center Nouakchott-Nord,HTL,,Bassirou,Ndiaye,Bassirou Ndiaye,M,WOLOF,+22225741315,undefinedcenter@nafadpay.mr,1,Nouakchott-Nord,2,,49 Avenue Gamal,NaN,NaN,0.0235,20000,200000,INACTIVE,2024-09-19,2024-09-19T17:54:26.839Z,2024-09-21T08:40:15.595Z
29,MRC372943,5411,undefined de Nouakchott Nouakchott-Ouest,ALM,,Leila,Camara,Leila Camara,F,PEUL,+22233225643,undefineddenoua@nafadpay.mr,2,Nouakchott-Ouest,5,,29 Avenue de la Paix,NaN,NaN,0.0056,200,5000,ACTIVE,2024-09-06,2024-09-06T02:21:45.923Z,2024-12-22T01:08:17.079Z
30,MRC684038,4121,undefined de Nouakchott Nouakchott-Ouest,TRN,,Boubacar,Camara,Boubacar Camara,M,WOLOF,+22234322298,undefineddenoua@nafadpay.mr,2,Nouakchott-Ouest,5,,147 Avenue de la Paix,NaN,NaN,0.0119,200,3000,ACTIVE,2023-02-10,2023-02-10T19:30:42.218Z,2023-11-02T08:17:44.997Z
31,MRC443929,4121,undefined El Mouna Dakhlet Nouadhibou,TRN,,Ahmedou,Ould Mohamed,Ahmedou Ould Mohamed,M,MAURE,+22235955964,undefinedelmoun@nafadpay.mr,4,Dakhlet Nouadhibou,10,,122 Avenue du Commerce,NaN,NaN,0.0194,200,3000,ACTIVE,2024-08-27,2024-08-27T04:03:26.939Z,2024-11-09T12:48:52.534Z
32,MRC710632,5541,undefined Capital Dakhlet Nouadhibou,CRB,,Mounina,Mint Abeih,Mounina Mint Abeih,F,MAURE,+22244954934,undefinedcapita@nafadpay.mr,4,Dakhlet Nouadhibou,10,,33 Avenue Principale,NaN,NaN,0.0052,1000,20000,ACTIVE,2024-02-20,2024-02-20T05:43:35.066Z,2024-11-04T15:05:35.750Z
33,MRC581122,5411,undefined Express Adrar,ALM,,Néné,Diop,Néné Diop,F,WOLOF,+22222840153,undefinedexpres@nafadpay.mr,12,Adrar,46,,26 Avenue Gamal,NaN,NaN,0.0237,200,5000,ACTIVE,2021-04-23,2021-04-23T20:53:42.953Z,2023-05-19T06:44:37.125Z
34,MRC389878,5732,undefined de la Corniche Dakhlet Nouadhibou,ELC,,Toumani,Tall,Toumani Tall,M,SONINKE,+22224052299,undefineddelaco@nafadpay.mr,4,Dakhlet Nouadhibou,10,,120 Avenue Principale,NaN,NaN,0.0252,5000,200000,ACTIVE,2021-01-25,2021-01-25T21:41:34.800Z,2021-06-26T07:06:34.014Z
35,MRC465522,4121,undefined El Baraka Tagant,TRN,,Cheikhna,Ould Vall,Cheikhna Ould Vall,M,MAURE,+22224038657,undefinedelbara@nafadpay.mr,13,Tagant,49,,150 Avenue de la Paix,NaN,NaN,0.0207,200,3000,ACTIVE,2024-05-17,2024-05-17T02:45:25.534Z,2024-09-08T18:45:02.434Z
36,MRC590030,5912,undefined Al Madina Nouakchott-Nord,SAN,,Kesso,Sène,Kesso Sène,F,SONINKE,+22235741315,undefinedalmadi@nafadpay.mr,1,Nouakchott-Nord,3,,165 Avenue de la Paix,NaN,NaN,0.0106,500,50000,ACTIVE,2023-07-20,2023-07-20T01:20:36.356Z,2024-10-17T13:10:29.833Z
37,MRC101101,4812,undefined Central Nouakchott-Nord,TEL,,Moustapha,Ould Hamadi,Moustapha Ould Hamadi,M,MAURE,+22222741315,undefinedcentra@nafadpay.mr,1,Nouakchott-Nord,2,,64 Avenue Principale,NaN,NaN,0.0265,500,10000,ACTIVE,2021-07-08,2021-07-08T00:42:41.342Z,2024-02-13T18:22:49.526Z
38,MRC250018,4121,undefined Al Madina Assaba,TRN,,Jemila,Mint Saad,Jemila Mint Saad,F,MAURE,+22237428826,undefinedalmadi@nafadpay.mr,9,Assaba,30,,114 Avenue de la Paix,NaN,NaN,0.009,200,3000,ACTIVE,2024-09-07,2024-09-07T01:28:51.169Z,2024-11-20T03:36:07.238Z
39,MRC017469,5411,undefined du Sahel Nouakchott-Ouest,ALM,,Sambou,Wane,Sambou Wane,M,WOLOF,+22249813468,undefineddusahe@nafadpay.mr,2,Nouakchott-Ouest,6,,126 Avenue de la Paix,NaN,NaN,0.0192,200,5000,ACTIVE,2022-01-29,2022-01-29T08:57:44.348Z,2024-10-23T20:43:08.678Z
40,MRC756285,5411,undefined Capital Nouakchott-Nord,ALM,,Rokhaya,Baldé,Rokhaya Baldé,F,PEUL,+22224737050,undefinedcapita@nafadpay.mr,1,Nouakchott-Nord,2,,93 Avenue Principale,NaN,NaN,0.0093,200,5000,ACTIVE,2024-09-11,2024-09-11T21:57:47.916Z,2024-11-03T17:20:29.249Z
41,MRC787227,5651,undefined du Progrès Nouakchott-Nord,HAB,,Ahmed Salem,Barry,Ahmed Salem Barry,M,PEUL,+22234416802,undefinedduprog@nafadpay.mr,1,Nouakchott-Nord,3,,147 Avenue de la Paix,NaN,NaN,0.0283,2000,30000,ACTIVE,2022-09-03,2022-09-03T20:03:09.676Z,2023-11-22T10:27:20.984Z
42,MRC237905,5812,undefined El Khair Nouakchott-Nord,RST,,Saad,Baldé,Saad Baldé,M,PEUL,+22233346770,undefinedelkhai@nafadpay.mr,1,Nouakchott-Nord,3,,161 Avenue Principale,NaN,NaN,0.0153,300,5000,ACTIVE,2024-09-18,2024-09-18T12:27:02.130Z,2024-10-04T22:52:13.884Z
43,MRC261064,5812,undefined Plus Adrar,RST,,Nouhoum,Fall,Nouhoum Fall,M,WOLOF,+22248724206,undefinedplusad@nafadpay.mr,12,Adrar,48,,105 Avenue Gamal,NaN,NaN,0.0137,300,5000,ACTIVE,2021-05-31,2021-05-31T14:42:07.809Z,2022-04-23T08:27:00.774Z
44,MRC693782,5411,undefined Plus Trarza,ALM,,Brahim,Ould Jiddou,Brahim Ould Jiddou,M,MAURE,+22233364411,undefinedplustr@nafadpay.mr,5,Trarza,12,,94 Avenue Principale,NaN,NaN,0.018,200,5000,ACTIVE,2024-12-30,2024-12-30T17:20:30.225Z,2024-12-30T20:24:51.680Z
45,MRC223380,4121,undefined Capital Tiris Zemmour,TRN,,Moustapha,Ould El Ghassem,Moustapha Ould El Ghassem,M,MAURE,+22233584541,undefinedcapita@nafadpay.mr,15,Tiris Zemmour,53,,189 Avenue Nasser,NaN,NaN,0.0289,200,3000,INACTIVE,2022-06-26,2022-06-26T23:44:41.537Z,2022-11-06T08:40:56.663Z
46,MRC653241,5541,undefined El Mouna Nouakchott-Sud,CRB,,Mbarka,Mint Limam,Mbarka Mint Limam,F,MAURE,+22242741315,undefinedelmoun@nafadpay.mr,3,Nouakchott-Sud,9,,70 Avenue Principale,NaN,NaN,0.0053,1000,20000,ACTIVE,2024-01-03,2024-01-03T13:41:14.384Z,2024-05-22T16:49:57.361Z
47,MRC142093,5411,undefined du Sahel Nouakchott-Nord,ALM,,Zakaria,Ould Horma,Zakaria Ould Horma,M,MAURE,+22245706908,undefineddusahe@nafadpay.mr,1,Nouakchott-Nord,1,,140 Avenue Principale,NaN,NaN,0.0135,200,5000,ACTIVE,2022-09-04,2022-09-04T01:23:27.647Z,2024-08-04T17:31:19.395Z
48,MRC031341,5812,undefined Al Amane Nouakchott-Sud,RST,,Jemila,Mint Bouha,Jemila Mint Bouha,F,MAURE,+22236745992,undefinedalaman@nafadpay.mr,3,Nouakchott-Sud,7,,200 Avenue Nasser,NaN,NaN,0.011,300,5000,ACTIVE,2023-07-29,2023-07-29T01:17:57.000Z,2024-08-17T17:36:24.348Z
49,MRC410103,5912,undefined El Mouna Nouakchott-Nord,SAN,,Mohamed Vall,Sène,Mohamed Vall Sène,M,PEUL,+22241410218,undefinedelmoun@nafadpay.mr,1,Nouakchott-Nord,3,,180 Avenue Nasser,NaN,NaN,0.0288,500,50000,ACTIVE,2021-06-18,2021-06-18T10:27:41.785Z,2023-06-04T07:22:59.273Z
50,MRC018712,5411,undefined de la Corniche Dakhlet Nouadhibou,ALM,,Gaoussou,Fall,Gaoussou Fall,M,PEUL,+22232246571,undefineddelaco@nafadpay.mr,4,Dakhlet Nouadhibou,10,,192 Avenue de la Paix,NaN,NaN,0.0053,200,5000,ACTIVE,2024-04-22,2024-04-22T08:26:21.063Z,2024-06-25T07:37:39.281Z
51,MRC626976,4812,undefined Al Amane Nouakchott-Nord,TEL,,Cheikhna,Soumaré,Cheikhna Soumaré,M,PEUL,+22234711436,undefinedalaman@nafadpay.mr,1,Nouakchott-Nord,2,,113 Avenue Gamal,NaN,NaN,0.0257,500,10000,ACTIVE,2023-02-17,2023-02-17T10:38:02.138Z,2024-10-25T21:00:53.786Z
52,MRC287435,5912,undefined Central Nouakchott-Ouest,SAN,,Ndèye,Dia,Ndèye Dia,F,SONINKE,+22225935334,undefinedcentra@nafadpay.mr,2,Nouakchott-Ouest,4,,80 Avenue Gamal,NaN,NaN,0.0189,500,50000,ACTIVE,2022-02-09,2022-02-09T07:28:18.337Z,2022-07-04T01:08:57.586Z
53,MRC406928,4121,undefined Al Amane Tiris Zemmour,TRN,,Abdel Aziz,Ould Wedadi,Abdel Aziz Ould Wedadi,M,MAURE,+22248604742,undefinedalaman@nafadpay.mr,15,Tiris Zemmour,53,,9 Avenue du Commerce,NaN,NaN,0.0172,200,3000,ACTIVE,2024-05-30,2024-05-30T16:50:42.109Z,2024-06-25T04:21:08.520Z
54,MRC649772,8211,undefined El Baraka Nouakchott-Nord,EDU,,Hamoud,Ould Habiboullah,Hamoud Ould Habiboullah,M,MAURE,+22235674062,undefinedelbara@nafadpay.mr,1,Nouakchott-Nord,2,,104 Avenue Principale,NaN,NaN,0.0164,10000,100000,ACTIVE,2021-06-13,2021-06-13T05:35:14.627Z,2024-09-11T08:14:23.449Z
55,MRC154734,7299,undefined du Marché Nouakchott-Nord,SRV,,Hafsata,Thiam,Hafsata Thiam,F,PEUL,+22223160090,undefineddumarc@nafadpay.mr,1,Nouakchott-Nord,1,,185 Avenue Principale,NaN,NaN,0.0133,1000,20000,INACTIVE,2022-10-31,2022-10-31T15:22:30.325Z,2024-06-11T18:26:43.874Z
56,MRC030331,5411,undefined de la Corniche Nouakchott-Ouest,ALM,,Issa,Ba,Issa Ba,M,PEUL,+22222833307,undefineddelaco@nafadpay.mr,2,Nouakchott-Ouest,6,,40 Avenue Principale,NaN,NaN,0.0251,200,5000,ACTIVE,2023-10-10,2023-10-10T17:27:16.179Z,2024-05-09T06:00:29.701Z
57,MRC726951,7299,undefined du Marché Nouakchott-Ouest,SRV,,Dah,Ould Sidi,Dah Ould Sidi,M,MAURE,+22233794931,undefineddumarc@nafadpay.mr,2,Nouakchott-Ouest,4,,86 Avenue du Commerce,NaN,NaN,0.0159,1000,20000,ACTIVE,2023-04-18,2023-04-18T18:24:37.296Z,2023-07-01T04:32:51.686Z
58,MRC469514,5812,undefined du Sahel Nouakchott-Nord,RST,,Siaka,Diallo,Siaka Diallo,M,SONINKE,+22222732669,undefineddusahe@nafadpay.mr,1,Nouakchott-Nord,3,,76 Avenue Gamal,NaN,NaN,0.0168,300,5000,ACTIVE,2024-08-12,2024-08-12T16:30:53.817Z,2024-08-24T10:24:56.893Z
59,MRC631940,5651,undefined de la Paix Trarza,HAB,,Koumba,Tall,Koumba Tall,F,SONINKE,+22248923830,undefineddelapa@nafadpay.mr,5,Trarza,12,,193 Avenue Gamal,NaN,NaN,0.0298,2000,30000,ACTIVE,2021-02-20,2021-02-20T20:34:03.390Z,2024-10-26T17:43:37.568Z
60,MRC475903,5411,undefined Teyarett Nouakchott-Ouest,ALM,,Sidi Ahmed,Sakho,Sidi Ahmed Sakho,M,SONINKE,+22236741315,undefinedteyare@nafadpay.mr,2,Nouakchott-Ouest,5,,35 Avenue Nasser,NaN,NaN,0.0101,200,5000,ACTIVE,2023-05-16,2023-05-16T18:25:01.151Z,2023-09-21T02:14:43.495Z
61,MRC805756,5211,undefined Capital Nouakchott-Sud,BTP,,Youssouf,Ould Ahmed,Youssouf Ould Ahmed,M,MAURE,+22224647431,undefinedcapita@nafadpay.mr,3,Nouakchott-Sud,9,,161 Avenue de la Paix,NaN,NaN,0.0091,5000,500000,INACTIVE,2024-06-01,2024-06-01T20:27:25.912Z,2024-11-28T21:48:51.476Z
62,MRC047811,5541,undefined de Nouakchott Trarza,CRB,,Saleck,Ould Ahmedou,Saleck Ould Ahmedou,M,MAURE,+22224060261,undefineddenoua@nafadpay.mr,5,Trarza,12,,85 Avenue Gamal,NaN,NaN,0.0162,1000,20000,ACTIVE,2023-08-09,2023-08-09T16:16:47.755Z,2023-10-01T09:29:09.836Z
63,MRC695314,4812,undefined du Marché Nouakchott-Nord,TEL,,Bilal,Ould Mokhtar,Bilal Ould Mokhtar,M,MAURE,+22235439333,undefineddumarc@nafadpay.mr,1,Nouakchott-Nord,1,,56 Avenue du Commerce,NaN,NaN,0.0139,500,10000,ACTIVE,2024-02-24,2024-02-24T05:50:13.747Z,2024-11-13T22:15:42.487Z
64,MRC457739,5411,undefined El Wafa Nouakchott-Sud,ALM,,Fallou,Yatabaré,Fallou Yatabaré,M,PEUL,+22236591364,undefinedelwafa@nafadpay.mr,3,Nouakchott-Sud,7,,53 Avenue Principale,NaN,NaN,0.0056,200,5000,ACTIVE,2024-06-07,2024-06-07T19:26:20.790Z,2024-07-02T18:15:10.749Z
65,MRC835598,4812,undefined du Progrès Brakna,TEL,,Oumar,Barry,Oumar Barry,M,PEUL,+22223769540,undefinedduprog@nafadpay.mr,6,Brakna,19,,35 Avenue Nasser,NaN,NaN,0.0104,500,10000,ACTIVE,2023-02-06,2023-02-06T03:58:29.915Z,2023-07-11T17:35:07.650Z
66,MRC239695,8211,undefined de Nouakchott Nouakchott-Ouest,EDU,,Sidi,Ba,Sidi Ba,M,PEUL,+22234890047,undefineddenoua@nafadpay.mr,2,Nouakchott-Ouest,4,,74 Avenue Gamal,NaN,NaN,0.0247,10000,100000,ACTIVE,2022-09-09,2022-09-09T08:52:33.265Z,2024-12-10T09:53:08.839Z
67,MRC522261,4121,undefined de la Paix Nouakchott-Ouest,TRN,,Horma,Baldé,Horma Baldé,M,SONINKE,+22224140983,undefineddelapa@nafadpay.mr,2,Nouakchott-Ouest,6,,77 Avenue Gamal,NaN,NaN,0.0131,200,3000,ACTIVE,2024-07-08,2024-07-08T04:02:16.951Z,2024-10-16T05:04:05.308Z
68,MRC457982,5541,undefined Capital Hodh El Gharbi,CRB,,Malick,Diagana,Malick Diagana,M,PEUL,+22223760904,undefinedcapita@nafadpay.mr,11,Hodh El Gharbi,43,,53 Avenue du Commerce,NaN,NaN,0.0216,1000,20000,ACTIVE,2021-10-20,2021-10-20T18:01:48.034Z,2022-07-20T01:09:02.609Z
69,MRC545296,5651,undefined de la Corniche Nouakchott-Ouest,HAB,,Souleymane,Sarr,Souleymane Sarr,M,PEUL,+22222261908,undefineddelaco@nafadpay.mr,2,Nouakchott-Ouest,5,,10 Avenue de la Paix,NaN,NaN,0.0255,2000,30000,ACTIVE,2021-05-11,2021-05-11T13:07:07.654Z,2022-07-19T14:43:43.603Z
70,MRC412025,5812,undefined El Wafa Dakhlet Nouadhibou,RST,,Abeih,Diarra,Abeih Diarra,M,PEUL,+22237694814,undefinedelwafa@nafadpay.mr,4,Dakhlet Nouadhibou,10,,181 Avenue Gamal,NaN,NaN,0.0117,300,5000,ACTIVE,2024-10-12,2024-10-12T22:13:16.042Z,2024-12-16T15:10:37.159Z
71,MRC391027,5211,undefined El Wafa Trarza,BTP,,Brahim,Ould Dah,Brahim Ould Dah,M,MAURE,+22224365836,undefinedelwafa@nafadpay.mr,5,Trarza,11,,38 Avenue Gamal,NaN,NaN,0.024,5000,500000,ACTIVE,2021-08-29,2021-08-29T23:50:00.279Z,2022-08-09T14:54:36.058Z
72,MRC096681,5912,undefined Capital Nouakchott-Sud,SAN,,Mariama,Bah,Mariama Bah,F,SONINKE,+22246811539,undefinedcapita@nafadpay.mr,3,Nouakchott-Sud,8,,115 Avenue du Commerce,NaN,NaN,0.0255,500,50000,ACTIVE,2021-06-06,2021-06-06T15:25:48.378Z,2024-08-09T02:00:53.123Z
73,MRC824768,5812,undefined de la Paix Nouakchott-Nord,RST,,Ely,Diagana,Ely Diagana,M,WOLOF,+22225636376,undefineddelapa@nafadpay.mr,1,Nouakchott-Nord,2,,17 Avenue Nasser,NaN,NaN,0.0173,300,5000,ACTIVE,2022-10-24,2022-10-24T04:41:55.936Z,2024-03-19T12:19:39.785Z
74,MRC599043,7299,undefined Center Nouakchott-Ouest,SRV,,Yacouba,Barry,Yacouba Barry,M,SONINKE,+22223065370,undefinedcenter@nafadpay.mr,2,Nouakchott-Ouest,6,,70 Avenue Nasser,NaN,NaN,0.024,1000,20000,ACTIVE,2024-05-15,2024-05-15T02:31:27.098Z,2024-06-03T23:29:07.926Z
75,MRC189692,5812,undefined El Wafa Nouakchott-Sud,RST,,Yaya,Kouyaté,Yaya Kouyaté,M,WOLOF,+22234566540,undefinedelwafa@nafadpay.mr,3,Nouakchott-Sud,9,,102 Avenue de la Paix,NaN,NaN,0.013,300,5000,ACTIVE,2024-01-21,2024-01-21T01:14:49.676Z,2024-07-12T01:16:14.685Z
76,MRC276423,5812,undefined de Nouakchott Nouakchott-Ouest,RST,,Zahra,Mint Mahmoud,Zahra Mint Mahmoud,F,MAURE,+22225529038,undefineddenoua@nafadpay.mr,2,Nouakchott-Ouest,4,,116 Avenue Principale,NaN,NaN,0.0277,300,5000,ACTIVE,2022-04-28,2022-04-28T05:04:04.094Z,2024-10-06T10:12:09.721Z
